ViscoIntrinseca ; RgFloryFox 
-6.743431 ; -21.1860446930  
-6.755948 ; -21.1991462708  
-6.531119 ; -20.9613285065  
-9.369254 ; -23.6405677795  
-9.365082 ; -23.6370601654  
-7.455706 ; -21.9071483612  
-5.524039 ; -19.8232650757  
-5.349516 ; -19.6122665405  
-5.264282 ; -19.5075454712  
-5.222320 ; -19.4555759430  
-5.405306 ; -19.6802082062  
-8.712769 ; -23.0749969482  
-8.563399 ; -22.9423713684  
-6.512999 ; -20.9419250488  
-4.757285 ; -18.8600406647  
-4.966736 ; -19.1328620911  
-4.889965 ; -19.0337715149  
-4.906654 ; -19.0554008484  
-5.818724 ; -20.1696739197  
-8.508921 ; -22.8936157227  
-8.026958 ; -22.4529418945  
-5.955696 ; -20.3267116547  
-4.684687 ; -18.7636127472  
-4.842520 ; -18.9720115662  
-4.962564 ; -19.1275043488  
-5.012870 ; -19.1919193268  
-7.046461 ; -21.4987545013  
-8.500457 ; -22.8860244751  
-7.570266 ; -22.0187816620  
-5.515694 ; -19.8132781982  
-4.719496 ; -18.8099708557  
-4.782438 ; -18.8932228088  
-5.000234 ; -19.1757793427  
-5.081295 ; -19.2788486481  
-8.120537 ; -22.5398578644  
-8.461356 ; -22.8508796692  
-7.054924 ; -21.5073585510  
-5.077123 ; -19.2735710144  
-4.616141 ; -18.6716461182  
-4.586816 ; -18.6320228577  
-4.688859 ; -18.7691802979  
-4.740477 ; -18.8378028870  
-8.193254 ; -22.6069393158  
-8.209944 ; -22.6222782135  
-6.479382 ; -20.9058322906  
-4.693031 ; -18.7747459412  
-4.544973 ; -18.5751953125  
-4.412293 ; -18.3926525116  
-4.283786 ; -18.2123298645  
-4.476547 ; -18.4815044403  
-7.890105 ; -22.3246097565  
-7.767200 ; -22.2080841064  
-5.856514 ; -20.2132415771  
-4.237652 ; -18.1467151642  
-4.387140 ; -18.3576374054  
-4.216671 ; -18.1167163849  
-4.229307 ; -18.1347961426  
-5.077123 ; -19.2735710144  
-7.796525 ; -22.2359981537  
-7.331490 ; -21.7848052979  
-5.315899 ; -19.5710983276  
-4.054666 ; -17.8816642761  
-4.198551 ; -18.0907287598  
-4.165053 ; -18.0424880981  
-4.186034 ; -18.0727348328  
-6.113529 ; -20.5047073364  
-7.719755 ; -22.1627731323  
-6.880283 ; -21.3284034729  
-4.952788 ; -19.1149368286  
-4.177570 ; -18.0605449677  
