0.0000;0.14540;0.12300;0.11828;0.08495;0.10130;0.07076;0.12207;-0.34546;1.8509
0.0250;0.14246;0.11882;0.11549;0.08169;0.09874;0.06828;0.12052;-0.34546;1.8689
0.0500;0.14393;0.12068;0.11301;0.08100;0.09727;0.06782;0.11967;-0.34546;1.9366
0.0750;0.13611;0.11829;0.10573;0.08046;0.09542;0.06728;0.11782;-0.34546;1.9162
0.1000;0.13510;0.11789;0.11115;0.08255;0.09743;0.06751;0.11758;-0.34546;1.9070
0.1250;0.13789;0.11766;0.10952;0.07999;0.09603;0.06774;0.11890;-0.34546;1.9052
0.1500;0.13734;0.11952;0.11401;0.08107;0.09735;0.06774;0.11812;-0.34546;1.9595
0.1750;0.13153;0.11564;0.11029;0.07813;0.09572;0.06635;0.11812;-0.34546;1.9168
0.2000;0.13665;0.11611;0.10743;0.07945;0.09448;0.06604;0.11750;-0.34515;1.8961
0.2250;0.13294;0.11410;0.11092;0.07868;0.09588;0.06635;0.11697;-0.34515;1.8909
0.2500;0.13572;0.11758;0.11122;0.08007;0.09681;0.06712;0.11882;-0.34515;1.9440
0.2750;0.14324;0.12084;0.11309;0.08255;0.09751;0.06744;0.11813;-0.34515;1.9174
0.3000;0.12906;0.11542;0.10782;0.07937;0.09526;0.06666;0.11728;-0.34515;1.9089
0.3250;0.12441;0.11115;0.10526;0.07612;0.09480;0.06519;0.11705;-0.34515;1.9086
0.3500;0.13481;0.11884;0.11078;0.07992;0.09620;0.06659;0.11798;-0.34515;1.9528
0.3750;0.13464;0.11239;0.10829;0.07945;0.09503;0.06705;0.11751;-0.34546;1.9131
0.4000;0.13255;0.11557;0.10705;0.07837;0.09503;0.06705;0.11813;-0.34546;1.8942
0.4250;0.13868;0.11884;0.11395;0.08039;0.09760;0.06791;0.11915;-0.34546;1.8921
0.4500;0.14107;0.11627;0.11317;0.08123;0.09674;0.06821;0.11937;-0.34546;1.9403
0.4750;0.14171;0.11822;0.11225;0.08287;0.09736;0.06837;0.11791;-0.34546;1.9156
0.5000;0.13318;0.12248;0.11155;0.08070;0.09519;0.06589;0.11698;-0.34546;1.9098
0.5250;0.13357;0.11411;0.10705;0.07597;0.09411;0.06543;0.11667;-0.34546;1.9098
0.5500;0.13962;0.11458;0.10954;0.07830;0.09474;0.06582;0.11644;-0.34546;1.9452
0.5750;0.14442;0.12101;0.11326;0.08372;0.09868;0.06876;0.12000;-0.34546;1.9086
0.6000;0.13891;0.12039;0.11209;0.08023;0.09721;0.06760;0.11822;-0.34546;1.8927
0.6250;0.14349;0.12070;0.11310;0.08078;0.09504;0.06659;0.11899;-0.34546;1.8967
0.6500;0.13744;0.11853;0.11008;0.07705;0.09488;0.06481;0.11620;-0.34546;1.9342
0.6750;0.13179;0.11040;0.10761;0.07675;0.09388;0.06489;0.11520;-0.34546;1.9141
0.7000;0.14093;0.11798;0.11403;0.07977;0.09612;0.06659;0.11705;-0.34546;1.9113
0.7250;0.13845;0.11922;0.11054;0.08147;0.09605;0.06705;0.11767;-0.34546;1.9275
0.7500;0.14017;0.12179;0.11334;0.08078;0.09683;0.06807;0.11854;-0.34515;1.9360
0.7750;0.13171;0.11395;0.10860;0.07775;0.09535;0.06636;0.11705;-0.34546;1.9049
0.8000;0.14248;0.11829;0.11302;0.08016;0.09620;0.06612;0.11729;-0.34546;1.8936
0.8250;0.13862;0.11776;0.11164;0.08148;0.09543;0.06675;0.11668;-0.34546;1.9205
0.8500;0.13908;0.11792;0.11381;0.08280;0.09667;0.06752;0.11761;-0.34546;1.9290
0.8750;0.13366;0.11676;0.10428;0.07769;0.09335;0.06520;0.11560;-0.34546;1.9138
0.9000;0.13048;0.11319;0.10885;0.07768;0.09605;0.06574;0.11745;-0.34546;1.9104
0.9250;0.14475;0.12366;0.11405;0.08257;0.09715;0.06776;0.11808;-0.34546;1.9598
0.9500;0.14189;0.11879;0.11359;0.07994;0.09723;0.06761;0.11848;-0.34515;1.9296
0.9750;0.14058;0.11499;0.11243;0.07886;0.09568;0.06614;0.11762;-0.34515;1.9046
1.0000;0.13492;0.11592;0.10902;0.07870;0.09405;0.06536;0.11685;-0.34515;1.8948
1.0250;0.12779;0.10988;0.10639;0.07413;0.09414;0.06413;0.11484;-0.34515;1.9528
1.0500;0.14259;0.12197;0.11382;0.08289;0.09661;0.06823;0.11817;-0.34515;1.9269
1.0750;0.13493;0.11500;0.10957;0.07995;0.09515;0.06653;0.11717;-0.34515;1.9150
1.1000;0.13647;0.11941;0.11034;0.07971;0.09553;0.06699;0.11685;-0.34546;1.9125
1.1250;0.13143;0.11010;0.10320;0.07645;0.09227;0.06521;0.11468;-0.34515;1.9681
