[NaCl] ; Mw90 
-0.000009 ; -476.315552 
-0.000009 ; -402.402222 
-0.000009 ; -402.402222 
-0.000009 ; -977.264771 
-0.000009 ; 484.526764 
-0.000009 ; -468.101227 
-0.000009 ; 1511.064941 
-0.000009 ; -591.284973 
-0.000009 ; -648.772705 
-0.000009 ; -583.073730 
-0.000009 ; -1092.237183 
-0.000009 ; -525.589050 
0.000000 ; -262.792999 
0.000000 ; -1215.420898 
0.000000 ; 566.651306 
0.000000 ; 7243.261719 
0.000000 ; 2471.907227 
0.000000 ; 632.347229 
0.000000 ; 188.882736 
0.000000 ; -829.444275 
0.000000 ; -574.862488 
0.000000 ; -1470.002808 
0.000000 ; -1018.327026 
0.000000 ; -1149.724976 
0.000000 ; 312.069519 
0.000000 ; 180.671509 
0.000000 ; 246.370514 
0.000000 ; -1026.538208 
0.000000 ; -131.398026 
0.000000 ; -197.093964 
0.000000 ; -574.862488 
0.000000 ; -837.655518 
0.000000 ; -640.561523 
0.000000 ; 246.370514 
0.000000 ; -262.792999 
0.000000 ; -451.675720 
0.000000 ; -583.073730 
0.000000 ; -451.675720 
0.000000 ; 0.000000 
0.000000 ; -706.257507 
0.000000 ; -385.979736 
0.000000 ; -65.699013 
0.000000 ; -509.163513 
0.000000 ; 0.000000 
0.000000 ; 1330.393433 
0.000000 ; -131.398026 
0.000000 ; -960.839233 
0.000000 ; -451.675720 
0.000000 ; 1207.209717 
0.000000 ; 377.765472 
0.000000 ; 0.000000 
0.000000 ; 377.765472 
0.000000 ; 57.487782 
0.000000 ; 1010.115784 
0.000000 ; 443.464539 
0.000000 ; 312.069519 
0.000000 ; 435.253265 
0.000000 ; -1026.538208 
0.000000 ; -402.402222 
0.000000 ; 238.156235 
0.000000 ; 295.644012 
0.000000 ; 1051.174927 
0.000000 ; 739.108521 
0.000000 ; -665.198242 
0.000000 ; 739.108521 
0.000000 ; 353.128754 
0.000000 ; 665.198242 
0.000000 ; 862.292236 
0.000000 ; 1560.338623 
0.000000 ; -221.733780 
0.000000 ; 476.315552 
0.000000 ; -32.847977 
0.000000 ; -32.847977 
